movie_id,keyword_id
323214,162846
323214,176834
1353361,1200
1353361,221000
1353361,237188
1353361,251150
1353361,263548
1353361,315147
1353361,359322
660120,817
660120,1003
660120,3725
660120,5756
660120,9696
660120,10163
660120,14602
660120,14669
660120,192687
660120,232244
660120,235670
1149614,1157
1149614,4048
1149614,5598
1494703,163053
1494703,268110
1494703,314834
1494703,319324
1494703,355595
1494703,355596
1494703,355597
1494703,355598
1494703,355599
1494703,355600
1494703,355601
1494703,355602
1494703,355603
1494703,355604
1494703,355605
1494703,355606
1494703,355607
1494703,355608
1494703,355609
1494703,355610
1494703,355611
1494703,355612
1494703,355613
1465013,350363
1465013,350364
1465013,350365
1465013,350366
1465013,350367
1370814,5767
1370814,11663
1370814,222165
1370814,295907
1370814,315058
1370814,329790
1480382,5907
1480382,537
1480382,1327
1480382,5945
1480382,208908
1480382,275377
1480382,324873
1480382,329574
1480382,339404
1480382,339405
1480382,354876
1480382,354877
1480382,354878
1480382,357132
1480382,358280
1418957,285292
1418957,339641
1340110,9748
1340110,305726
1340110,336874
1561301,9673
1561301,154954
1561301,192311
1561301,193400
1561301,238025
1561301,241804
1561301,260150
1561301,312898
1508069,2151
1508069,9673
1508069,10349
1508069,11061
1508069,15009
1508069,33494
1508069,251961
1508069,321464
1537768,9694
1537768,291531
1537768,317204
1369840,9951
1369840,14909
1369840,281358
1369840,322268
1081077,33846
1081077,161256
1081077,196096
1081077,207876
1081077,207883
1081077,214548
1081077,221901
1081077,241930
1081077,260134
1081077,279911
1081077,303954
1081077,345747
916224,2343
916224,3255
916224,5096
916224,6397
916224,9935
916224,10809
916224,11322
916224,41557
916224,68646
916224,161318
916224,189092
916224,210024
916224,322942
916224,324018
1322752,4344
1322752,210024
1322752,283297
1322752,287664
1322752,325761
1322752,331069
1322752,337985
603909,1521
1278728,155170
1278728,159290
1278728,294708
1278728,299404
1442571,267461
1442571,328121
1442571,342854
1442571,350028
1442571,351903
1476362,9663
1568524,1930
1568524,12565
1568524,166726
1568524,220332
1568524,247411
1568524,358432
1568524,358445
1568524,358519
1553167,236
1244944,4129
1244944,13063
1244944,14768
1244944,18035
1244944,34079
1244944,175421
1244944,178848
1244944,256183
1244944,288394
1244944,295907
1244944,315058
1244944,325818
1140498,242
1140498,9716
1160981,9714
1160981,209673
1160981,325761
1160981,325783
1160981,325784
1336089,6152
1035047,312898
793387,10114
793387,15001
793387,156174
793387,177895
793387,285485
793387,288394
793387,290489
1001270,12565
481084,6513
481084,4553
481084,18035
1558332,2343
1558332,209144
1530695,181532
645985,9672
645985,192094
1368940,12339
1316719,18712
1316719,305168
1471345,261264
1119090,534
1119090,4344
1119090,10121
1119090,13028
1119090,162846
1119090,207928
1119090,227581
1483644,5657
1483644,2858
1483644,15001
1483644,158718
1483644,161270
1483644,163186
1483644,173531
1483644,219999
1483644,241827
1483644,250606
1483644,250905
1483644,256183
1483644,263548
1483644,265587
1483644,273188
1483644,279185
1483644,284439
1483644,290527
1483644,300202
1483644,315058
1483644,317826
1483644,319857
1483644,329138
1483644,329686
1483644,347904
1483644,354066
1483644,355102
1241983,818
1241983,235516
1241983,295486
1012611,6149
1012611,2815
1012611,248955
1012611,354864
1012611,354865
1550214,242
1550214,537
1550214,6025
1550214,4747
1550214,162710
1550214,173259
1550214,268752
1550214,273967
1550214,293015
1550214,298655
1550214,324876
1550214,339404
1550214,350634
1550214,357067
1392527,10683
1392527,11322
1436570,2137
1436570,208349
1436570,230782
1436570,273967
858024,818
858024,9872
858024,159138
858024,187056
1227694,6678
1227694,10468
1227694,10794
1227694,197345
1227694,197823
1227694,258056
1227694,279414
1227694,294082
1227694,324537
1406894,289844
1063857,444
1063857,3030
1063857,3298
1063857,4142
1063857,15106
419767,310
419767,6259
419767,2095
419767,10437
419767,8201
419767,11800
419767,10150
419767,12332
419767,12565
419767,33490
419767,163053
419767,164218
419767,171993
419767,190756
419767,194451
419767,210458
419767,223521
419767,235487
419767,246926
419767,252203
419767,272745
419767,285809
419767,295907
419767,298387
419767,300639
1360829,803
1360829,801
1360829,6086
1360829,1576
1360829,11239
1360829,11322
1360829,202958
1360829,235578
1360829,295389
1360829,302294
1360829,314730
1360829,323114
1377214,6300
1377214,165493
1377214,249969
1377214,263312
1377214,269367
1377214,270308
1377214,289108
1379266,9823
1379266,12090
1379266,15060
1379266,34221
1379266,197915
1379266,208992
1379266,235894
1379266,306984
1379266,328635
701387,83
701387,592
701387,1930
701387,2340
701387,6262
701387,1715
701387,10123
701387,8201
701387,9714
701387,9739
701387,14909
701387,33416
701387,41329
701387,199524
701387,201064
701387,206959
701387,214655
701387,246533
701387,251827
701387,256159
701387,293749
701387,314730
701387,321464
701387,345851
1257420,6511
1257420,9957
1257420,360705
1429453,283085
1429453,346421
1466319,9672
1466319,325769
1220564,1228
1220564,4289
1220564,7606
1220564,264118
969686,10150
969686,12332
1511384,3658
1511384,818
1511384,6562
1511384,162262
1511384,164282
1511384,208586
1511384,257714
1511384,261139
1511384,291004
1511384,299344
1511384,314863
1511384,328780
1568733,616
1568733,6149
1568733,2383
1568733,15271
408545,187056
1432547,818
1432547,2062
1432547,10349
1432547,10854
1432547,13065
1432547,14909
1432547,18543
1432547,162365
1432547,210024
1432547,273967
131044,1635
1287141,258533
700391,1299
700391,1423
700391,1964
700391,11100
700391,10506
700391,12616
700391,15140
700391,160879
700391,163252
700391,169725
700391,193083
700391,239821
700391,240303
700391,251829
1565674,285787
1127407,1022
1127407,189094
1127407,308984
639988,818
639988,9714
639988,199228
639988,309270
639988,345851
